,column,db_b,I,EI,p_norm,p_rand,z_norm,z_rand,p_sim,p_z_sim
0,SHAPE_Length,10,0.6628190543605786,-7.395902669920864e-05,0.0009749344558191986,0.0009496100259074325,3.4875502959503586,3.494581841503895,0.008,0.002307897883544463
1,SHAPE_Length,50,0.4333019489380179,-7.395902669920864e-05,0.0,0.0,21.31453622721381,21.357369328061754,0.002,0.0
2,SHAPE_Length,100,0.17356764735076208,-7.395902669920864e-05,0.0,0.0,23.216569306621277,23.26224254132281,0.002,0.0
3,SHAPE_Length,150,0.11773038253141462,-7.395902669920864e-05,0.0,0.0,24.353315624769472,24.399561742824773,0.002,0.0
4,SHAPE_Length,200,0.09839094043242262,-7.395902669920864e-05,0.0,0.0,27.110474769315548,27.159491612894985,0.002,0.0
5,SHAPE_Length,300,0.0866011994445025,-7.395902669920864e-05,0.0,0.0,35.614624267155634,35.6699115693017,0.002,0.0
6,SHAPE_Length,400,0.07492436317399358,-7.395902669920864e-05,0.0,0.0,40.75766903451955,40.806783555386865,0.002,0.0
7,DIRECTIONALITY_Bi-direction,10,0.6564441429539798,-7.395902669920864e-05,0.0011046288241374214,0.00014623979628503037,3.4540112123972904,3.965898752921475,0.01,0.0006220551539315444
8,DIRECTIONALITY_Bi-direction,50,0.3566912110106206,-7.395902669920864e-05,0.0,0.0,17.54662407765326,20.146818148122748,0.002,0.0
9,DIRECTIONALITY_Bi-direction,100,0.30088836574854194,-7.395902669920864e-05,0.0,0.0,40.239852749560846,46.20116283056007,0.002,0.0
10,DIRECTIONALITY_Bi-direction,150,0.27547730058207287,-7.395902669920864e-05,0.0,0.0,56.96383263383236,65.39720774700506,0.002,0.0
11,DIRECTIONALITY_Bi-direction,200,0.25354184855981116,-7.395902669920864e-05,0.0,0.0,69.82838544945788,80.15682861790242,0.002,0.0
12,DIRECTIONALITY_Bi-direction,300,0.22123828887401947,-7.395902669920864e-05,0.0,0.0,90.93669620832043,104.35230546586322,0.002,0.0
13,DIRECTIONALITY_Bi-direction,400,0.19525248290113223,-7.395902669920864e-05,0.0,0.0,106.14971428935935,121.75407242746746,0.002,0.0
14,DIRECTIONALITY_one-way,10,0.5368235308355066,-7.395902669920864e-05,0.009465733416738509,0.0029831808639273483,2.8246745128538664,3.1763147055242116,0.026,0.005744406955956904
15,DIRECTIONALITY_one-way,50,0.3318002448740243,-7.395902669920864e-05,0.0,0.0,16.322422663365074,18.35418529253449,0.002,0.0
16,DIRECTIONALITY_one-way,100,0.2871335424436291,-7.395902669920864e-05,0.0,0.0,38.40077849068386,43.179122592687776,0.002,0.0
17,DIRECTIONALITY_one-way,150,0.2673745262790143,-7.395902669920864e-05,0.0,0.0,55.28877195755574,62.163490709123415,0.002,0.0
18,DIRECTIONALITY_one-way,200,0.24475979454350916,-7.395902669920864e-05,0.0,0.0,67.41041056562058,75.78373608748217,0.002,0.0
19,DIRECTIONALITY_one-way,300,0.2102623916748534,-7.395902669920864e-05,0.0,0.0,86.42672516658179,97.1309001628188,0.002,0.0
20,DIRECTIONALITY_one-way,400,0.18625169423748963,-7.395902669920864e-05,0.0,0.0,101.25825599218946,113.74956461500645,0.002,0.0
21,STREETTYPE_AVE,10,-0.4798761092138755,-7.395902669920864e-05,0.023186456858833575,0.007749324039351723,-2.5242898885484313,-2.8881896307950607,0.004,0.013686271603680534
22,STREETTYPE_AVE,50,0.0976118643066129,-7.395902669920864e-05,3.1037234036190853e-06,7.726975859156937e-08,4.804438784106576,5.496980778246857,0.002,1.3431898202576065e-06
23,STREETTYPE_AVE,100,0.16869085506701176,-7.395902669920864e-05,0.0,0.0,22.5645228967098,25.816138388975993,0.002,0.0
24,STREETTYPE_AVE,150,0.18091034575226522,-7.395902669920864e-05,0.0,0.0,37.41430781850519,42.802242614097985,0.002,0.0
25,STREETTYPE_AVE,200,0.15524010056892137,-7.395902669920864e-05,0.0,0.0,42.76283139592408,48.9152344437566,0.002,0.0
26,STREETTYPE_AVE,300,0.11299535948368336,-7.395902669920864e-05,0.0,0.0,46.45992422648512,53.126543413341615,0.002,0.0
27,STREETTYPE_AVE,400,0.08393443767181163,-7.395902669920864e-05,0.0,0.0,45.654173697327074,52.18152196211346,0.002,0.0
28,STREETTYPE_BLVD,10,0.005128967516539064,-7.395902669920864e-05,1.956324231368518,1.9562112457764664,0.027373147158329763,0.02744397697798123,0.522,0.5866133857765234
29,STREETTYPE_BLVD,50,-0.00144349988054293,-7.395902669920864e-05,1.8925941665019352,1.892317379974782,-0.06735752405110139,-0.06753136922518874,0.212,0.9383126536759681
30,STREETTYPE_BLVD,100,0.11599800434627536,-7.395902669920864e-05,0.0,0.0,15.519280421458108,15.558677989707594,0.002,0.0
31,STREETTYPE_BLVD,150,0.18547979444235124,-7.395902669920864e-05,0.0,0.0,38.35893536541066,38.45369040553524,0.002,0.0
32,STREETTYPE_BLVD,200,0.19270609074202558,-7.395902669920864e-05,0.0,0.0,53.07839345788553,53.204674507756835,0.002,0.0
33,STREETTYPE_BLVD,300,0.19554495051312565,-7.395902669920864e-05,0.0,0.0,80.37936227282881,80.55001083314815,0.002,0.0
34,STREETTYPE_BLVD,400,0.15898006678613769,-7.395902669920864e-05,0.0,0.0,86.43755156735563,86.59098710127162,0.002,0.0
35,STREETTYPE_CIR,10,0.010839500635419004,-7.395902669920864e-05,1.9084262557137683,1.907920979209515,0.05741686623000565,0.057734026571422244,0.856,0.949012338061024
